Tweet,Date
वाइड बडी जहाजमा चीनबाट मेडिकल सामग्री ल्याइँदै https://t.co/HeJHYHLej3 via @Annapurna_Post, Mar 27 2020 
चीनमा उपचारपछि पनि बल्झिन थाल्यो कोरोना संक्रमण https://t.co/vTHeWMiOC3, Mar 27 2020 
कोरोना अपडेट : चीनमा बिदेशीलाई प्रतिबन्ध https://t.co/CJZCk5Bfw4 via @Annapurna_Post, Mar 27 2020 
कोरोनाभन्दा पेटकै चिन्ता https://t.co/uT4lxDzpps via Annapurna Post, Mar 27 2020 
फोहोरले चरिकोट दुर्गन्धित https://t.co/rxmClYrsNQ via Annapurna Post, Mar 27 2020 
पोखरीमा डुबेर दाजु-भाइको मृत्यु https://t.co/UoowFCbcmj via Annapurna Post, Mar 27 2020 
लक डाउन : ग्यासको आयात घट्यो https://t.co/fuHZpt8W7G via @Annapurna_Post, Mar 27 2020 
कोरोना रोकथामका लागि पालिकामा आकस्मिक कोष https://t.co/9TxzI47mb9 via @Annapurna_Post, Mar 27 2020 
भारतबाट आएका १६ जना क्‍वारेन्टाइनमा https://t.co/rOSb0wYI1M via @Annapurna_Post, Mar 27 2020 
युकेमा कोरोना संक्रमित पत्ता लगाउन कुकुरलाई तालिम https://t.co/xdAejs4EZB, Mar 27 2020 
मुस्ताङका पाँचवटै पालिकामा क्वारेन्टाइन https://t.co/4v2AG9wjpU via @Annapurna_Post, Mar 27 2020 
लकडाउन : तस्करीको गिरोह सक्रिय https://t.co/tqBoorSA4G via Annapurna Post, Mar 27 2020 
लकडाउन : तस्करीको गिरोह सक्रिय https://t.co/tqBoorSA4G via @Annapurna_Post, Mar 27 2020 
वीपी प्रतिस्ठान धरानमा २ सय बेडको आइसुलेसन वार्ड https://t.co/NEIhEYrAcH, Mar 27 2020 
मजदुरलाई खाद्यान्न वितरण गर्दै नगरपालिका https://t.co/ClFH0irPdo, Mar 27 2020 
मजदुरलाई खाद्यान्न वितरण गर्दै नगरपालिका https://t.co/ClFH0irPdo via @Annapurna_Post, Mar 27 2020 
कोरोना भाइरस : अमेरिकामा सङ्क्रमण सबैभन्दा तीव्र https://t.co/CoH88j0PaY via @Annapurna_Post, Mar 27 2020 
भारतमा कर्फ्यू असर : सडकमा हिँड्नेलाई ‘कुखुरा’ बनाउँदै https://t.co/lLpUSJfItO, Mar 27 2020 
कोरोना जोखिममा सुरक्षाकर्मीको हैरानी https://t.co/0Wp5H7FU4X, Mar 27 2020 
लकडाउन प्रभाव : दूध दुहिदै गाईलाई खुवाइँदै https://t.co/oP9CSEHRCl via @Annapurna_Post, Mar 27 2020 
कोरोनाविरुद्ध सार्क राष्ट्रको संयुक्त डोमेन https://t.co/CQY3IFv4Hn via @Annapurna_Post, Mar 27 2020 
ट्रमा सेन्टरको नियमित सेवा : घरबाटै पनि सेवा लिन सकिने https://t.co/DopmpSwnEc via @Annapurna_Post, Mar 27 2020 
कोरोना महामारीबारे ट्रम्प र सी जिनफिङ छलफल गर्दै https://t.co/P0cC5vCJ3D, Mar 27 2020 
तेस्रो संक्रमितसँग नेपाल आएका युवा ओखलढुंगामा https://t.co/QTE0DmWEFY, Mar 27 2020 
डिजिटल माध्यमबाट भुक्तानी https://t.co/e0BimqVZDr via @Annapurna_Post, Mar 27 2020 
नेपालले खेल्ने नामिबिया सिरिज स्थगित https://t.co/tRjgGIhdzC via @Annapurna_Post, Mar 27 2020 
क्वारेन्टाइनमा बस्दा जीवित प्रणालीसँग सम्पर्क गर्न नपाउने https://t.co/4zc2MfjihJ via @Annapurna_Post, Mar 27 2020 
कोरोनाबाट मृत्यु भए बिमा दाबी पाइन्छ https://t.co/1rTa3Ch2hc via @Annapurna_Post, Mar 27 2020 
कोरोना नियन्त्रणपछि वुहानमा ट्राफिक चाप बढ्दै (फोटोफिचर) https://t.co/aaxqURvUcv via @Annapurna_Post, Mar 27 2020 
महाबिपद्‍मा बिमा https://t.co/NEhV49kDF6 via @Annapurna_Post, Mar 27 2020 
स्वास्थ्यमा समस्या आएपछि प्रधानमन्त्री राति नै अस्पताल भर्ना https://t.co/t99Czp6gHa, Mar 27 2020 
निजी अस्पताल बन्द सरकारीमा न्युन बिरामी https://t.co/SNu52sZ1UA via @Annapurna_Post, Mar 27 2020 
सहरमा त्रास गाउँमा अन्योल https://t.co/AhiHetxC3r via @Annapurna_Post, Mar 27 2020 
औषधि सकिँदा समस्या https://t.co/AwKRyRAdpH via @Annapurna_Post, Mar 27 2020 
कोभिड–१९ जस्तै भाइरस सालकमा भेटियो https://t.co/f4RdARn9Ad via @Annapurna_Post, Mar 27 2020 
क्वारेन्टाइनबाट सीधै दर्शकसँग https://t.co/HL5SYzRAaN, Mar 27 2020 
लकडाउन’ मा भर्चुअल नाटक उत्सव https://t.co/afnbZWgKjE, Mar 27 2020 
लकडाउनमा रेखाको यस्तो आग्रह https://t.co/9WmUJFU7ZU, Mar 27 2020 
कोरोनासँग लड्ने प्रणाली र संयन्त्र https://t.co/LshXdNOoSy via @Annapurna_Post, Mar 27 2020 
पूर्वीय संस्कृतिलाई सम्झने बेला https://t.co/9mnZdrNijR via @Annapurna_Post डा. साधना प्रतीक्षाको विचार, Mar 27 2020 
बलिउड नायिका निम्मीको निधन https://t.co/4F2kPWNPNV, Mar 27 2020 
राहत दिने हो भने... https://t.co/IRhy74ZbVc via @Annapurna_Post, Mar 27 2020 
आजको कार्टुन https://t.co/i3IVGVIJoN, Mar 27 2020 
आजको अन्नपूर्ण पोस्ट ई-पेपर पढ्नुहोस् https://t.co/zd819ybKjf https://t.co/BeHs1zcsuk, Mar 27 2020 
कोरोना संक्रमणमा अमेरिका पहिला बन्यो तर पनि 'लक डाउन' गरिएको छैन https://t.co/wYeSHGvXjP, Mar 27 2020 
चीनमा फेरि संक्रमण https://t.co/F8f6406cPk via @Annapurna_Post, Mar 27 2020 
कोरोना राहत कोषमा सहयोग गर्ने सन्दीपको घोषणा https://t.co/rzXHLsI7fW via @Annapurna_Post, Mar 27 2020 
